순번,의료기관명,의료기관주소(도로명),의료기관전화번호,병상,관리기관,관리기관 전화번호,데이터 기준일자
173,서울윤치과의원,"강원특별자치도 원주시 단구로 360, 2층 (단구동)",033-761-2879,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
174,스토리치과의원,강원특별자치도 원주시 능라동길 61 (무실동),033-733-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
175,이성문한의원,"강원특별자치도 원주시 치악로 1502, 2층 (단구동)",033-765-7582,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
176,연세키즈 소아청소년과의원,"강원특별자치도 원주시 서원대로 402, 3층 (단구동, 대신프라자)",033-764-6644,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
177,경희해문한의원,"강원특별자치도 원주시 능라동길 70, 409호 (무실동)",033-748-1640,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
178,닥터유 부부치과의원,"강원특별자치도 원주시 오리현길 57, 5층 (반곡동)",033-735-1880,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
179,우리가족한의원,강원특별자치도 원주시 단구로 404 (단구동),033-745-7579,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
180,중앙메디칼 연합의원,강원특별자치도 원주시 평원로 33 (중앙동),033-735-5511,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
181,키즈메디소아청소년과의원,강원특별자치도 원주시 능라동길 61 (무실동),033-742-0707,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
182,최경훈 내과의원,강원특별자치도 원주시 원일로115번길 12 (일산동),033-742-7400,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
183,원주유디치과의원,"강원특별자치도 원주시 서원대로 162, 3층 (단계동)",033-743-2838,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
184,이스타치과의원,"강원특별자치도 원주시 백간길 74 (단계동, 라이프상가 201,202호)",033-735-1668,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
185,사랑손한의원,"강원특별자치도 원주시 무실본동길 54, 1층 (무실동)",033-742-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
186,신중한의원,"강원특별자치도 원주시 문막읍 동화택지길 3-25, 1층",033-732-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
187,경희후한의원,"강원특별자치도 원주시 능라동길 31, 2~3층 (무실동)",033-766-5075,14,강원특별자치도 원주시청,033-737-4022,2025-11-25
188,킴스주니어치과의원,"강원특별자치도 원주시 무실로 169, 2,3층 (명륜동)",033-901-1234,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
189,강원의료복지사회적협동조합밝음의원,"강원특별자치도 원주시 중앙로 85, 4층 (중앙동)",033-744-7571,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
190,연세이비인후과의원,강원특별자치도 원주시 봉화로 12 (단계동),033-745-5075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
191,흥업성모의원,강원특별자치도 원주시 흥업면 남원로 76,033-765-2275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
192,신샘내과의원,"강원특별자치도 원주시 원일로115번길 12, 3층 (일산동, 서진빌딩)",033-735-9909,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
193,우성애 여성의원,강원특별자치도 원주시 남원로 589 (명륜동),033-766-7889,4,강원특별자치도 원주시청,033-737-4022,2025-11-25
194,강남제이스타의원,"강원특별자치도 원주시 능라동길 51, 시네시티타워 501, 502호 (무실동)",033-733-7585,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
195,예그린한의원,"강원특별자치도 원주시 서원대로 174, 2층 (단계동)",033-745-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
196,셀레스의원,"강원특별자치도 원주시 봉화로 16, 3층 (단계동)",033-748-9779,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
197,28지킴이치과의원,강원특별자치도 원주시 봉화로 16 (단계동),033-747-2891,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
198,고은의원,강원특별자치도 원주시 봉화로 29 (단계동),033-747-7457,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
199,오렌지가정의원,강원특별자치도 원주시 봉화로 1 (단계동),033-742-7595,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
200,고은미래의원,"강원특별자치도 원주시 시청로 98, 3층 (무실동)",033-747-7552,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
201,광인당한의원,"강원특별자치도 원주시 남원로 623, 2층 (명륜동)",033-766-7500,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
202,위즈팍서울정형외과의원,"강원특별자치도 원주시 봉화로 16, 2층 (단계동)",033-734-1275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
203,베스트치과의원,"강원특별자치도 원주시 단구로 398, 가온프라자 2층 201호 (단구동)",033-743-2879,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
204,제민당한의원,"강원특별자치도 원주시 치악로 1594, 1층 (단구동)",033-765-2700,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
205,플러스한의원,"강원특별자치도 원주시 남원로 643-1, 1층 (명륜동)",033-735-8282,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
206,여민한의원,"강원특별자치도 원주시 행구로 69, 1층 (봉산동)",033-766-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
207,이사랑치과의원,"강원특별자치도 원주시 늘품로 187-58, 3층 312호 (단구동, 현대아카데미프라자)",033-734-2804,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
208,세명치과의원,"강원특별자치도 원주시 행구로 67, 2층 (봉산동)",033-747-8228,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
209,마리치과의원,"강원특별자치도 원주시 중평길 2, 2층 (중앙동)",033-742-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
210,서울에이스치과의원,"강원특별자치도 원주시 태장둔치길 55, 2층 (태장동)",033-746-2842,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
211,스카이치과의원,"강원특별자치도 원주시 원일로 57, 4층 (원동, 마노벨라빌딩)",033-761-2842,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
212,연세봄재활의학과의원,"강원특별자치도 원주시 무실로 113, 원동프라자 2층, 3층 (원동)",033-762-0330,21,강원특별자치도 원주시청,033-737-4022,2025-11-25
213,유로진비뇨기과의원,"강원특별자치도 원주시 서원대로 184, 새동빌딩  2층 (단계동)",033-734-7752,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
214,화평당한의원,강원특별자치도 원주시 행구로 115 (봉산동),033-734-0550,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
215,이현주한의원,강원특별자치도 원주시 귀래면 운계다둔길 113-7,033-765-7510,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
216,원주샘치과의원,"강원특별자치도 원주시 치악로 1793, 3층 (개운동, 농협)",033-764-7878,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
217,원주마디정형외과의원,"강원특별자치도 원주시 서원대로 502, 3층 (단구동, 골드프라자)",033-765-0810,28,강원특별자치도 원주시청,033-737-4022,2025-11-25
218,으뜸한의원,"강원특별자치도 원주시 중앙시장길 11, 2층 3-3호 (중앙동, 자유시장상가)",033-734-1211,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
219,명륜한의원,"강원특별자치도 원주시 예술관길 25, 상가동 109,111,112,201호 (명륜동, 명륜2단지아파트)",033-765-1275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
220,프렌즈치과의원,강원특별자치도 원주시 북원로 2701 (가현동),033-745-2858,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
221,Dr. 구의원,"강원특별자치도 원주시 서원대로 392, 3층 (단구동, 스타프라자)",033-766-2535,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
222,임수빈내과의원,강원특별자치도 원주시 시청로 98 (무실동),033-743-2266,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
223,유앤미한의원,"강원특별자치도 원주시 흥양로51번길 1, 2층 (태장동)",033-735-7597,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
224,청담심스성형외과의원,"강원특별자치도 원주시 남원로534번길 6 (단구동, 이룸빌딩)",033-763-6688,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
225,하얀이치과의원,강원특별자치도 원주시 능라동길 3 (무실동),033-747-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
226,선율당한의원,강원특별자치도 원주시 치악로 1507 (관설동),033-765-4859,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
227,치악산한의원,강원특별자치도 원주시 소초면 서동로 46,033-732-5630,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
228,생명수한의원,"강원특별자치도 원주시 원일로 135, 2층 (일산동)",033-746-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
229,문막애치과의원,"강원특별자치도 원주시 문막읍 왕건로 81, 동화빌딩 201호",033-746-2275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
230,엔치과의원,"강원특별자치도 원주시 남원로 669, 2층 (명륜동)",033-763-2866,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
231,원주함소아한의원,"강원특별자치도 원주시 서원대로 396, 306,307호 (단구동)",033-764-5475,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
232,백두한의원,"강원특별자치도 원주시 원일로 151, 2층 (일산동)",033-748-1020,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
233,뉴코웰이비인후과의원,"강원특별자치도 원주시 단구로 351, 3층 (단구동)",033-765-9559,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
234,부론한의원,강원특별자치도 원주시 부론면 법천시장길 55-2,033-733-9618,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
235,율산부인과의원,"강원특별자치도 원주시 능라동길 61, 8층 (무실동, 정한타워)",033-765-0655,9,강원특별자치도 원주시청,033-737-4022,2025-11-25
236,고은아이치과의원,"강원특별자치도 원주시 서원대로 408, 203호 (단구동, 광장빌딩)",033-766-7528,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
237,연세스카이치과의원,"강원특별자치도 원주시 단구로 395, 2층 (단구동)",033-761-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
238,천일한의원,"강원특별자치도 원주시 신림면 치악로 37, 1층",033-762-5177,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
239,서울인성치과의원,"강원특별자치도 원주시 흥업면 남원로 57, 3, 4층",033-766-2879,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
240,원주웰치과의원,"강원특별자치도 원주시 시청로 80, 3층 301호 (무실동, 쎈터프라자)",033-735-2275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
241,정운기한의원,"강원특별자치도 원주시 시청로 80, 쎈터프라자 302,304,305호 (무실동)",033-734-1020,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
242,중앙의원,"강원특별자치도 원주시 평원로 63, 2,5층 (중앙동)",033-733-2277,5,강원특별자치도 원주시청,033-737-4022,2025-11-25
243,백록담한의원,강원특별자치도 원주시 개봉교길 9 (개운동),033-763-7555,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
244,로스윌서울이싫어내려온치과의원,"강원특별자치도 원주시 서원대로 410 (단구동, 한솔프라자)",033-765-2851,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
245,퀸스영상의학과의원,"강원특별자치도 원주시 무실로12번길 24, 3층 (일산동)",033-733-7575,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
246,연세남부정형외과의원,"강원특별자치도 원주시 치악로 1788 (개운동, 동원주새마을금고)",033-761-9128,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
247,다다함한방내과한의원,"강원특별자치도 원주시 시청로 36, 1층 (무실동)",033-766-7510,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
248,하나한의원,"강원특별자치도 원주시 치악로 1965, 2층 (태장동)",033-735-7510,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
249,아나파마취통증의학과의원,"강원특별자치도 원주시 봉화로 22, 302호 (단계동, 더파크타워)",033-744-3123,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
250,신호드림치과의원,강원특별자치도 원주시 치악로 1965 (태장동),033-735-2836,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
251,연세수비뇨기과의원,강원특별자치도 원주시 서원대로 163 (단계동),033-747-6932,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
252,굿모닝치과의원,"강원특별자치도 원주시 입춘로 110, 3층 307호 (반곡동)",033-747-7527,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
253,희망정형외과의원,"강원특별자치도 원주시 시청로 84, 4층 (무실동, 애드피아빌딩)",033-743-2575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
254,e-플란트미래치과의원,"강원특별자치도 원주시 서원대로 383, 4층 (개운동, 한신플라자)",033-764-7528,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
255,연세탑이비인후과의원,"강원특별자치도 원주시 혁신로 55, 207호 (반곡동)",033-743-5075,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
256,강훈소아청소년과의원,"강원특별자치도 원주시 입춘로 110 (반곡동, 파라다이스프라자 301,302호)",033-744-7579,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
257,연세장상민재활의학과의원,"강원특별자치도 원주시 문막읍 문막시장1길 39, 2~3층",033-742-2473,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
258,박동훈내과의원,"강원특별자치도 원주시 봉화로 22, 6층 (단계동, 더파크타워)",033-746-7588,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
259,경희미려한의원,"강원특별자치도 원주시 서원대로 406, 4층 (단구동, 리더스타워)",033-744-8575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
260,문막한의원,강원특별자치도 원주시 문막읍 문막시장1길 9,033-735-8575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
261,편안한마취통증의학과의원,"강원특별자치도 원주시 남원로 671, 4층 (명륜동)",033-766-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
262,연세소울정신건강의학과의원,"강원특별자치도 원주시 능라동길 3 (무실동, 5층 501호)",033-762-9960,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
263,안아픈세상의원,강원특별자치도 원주시 판부면 남원로 380-1,033-764-5577,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
264,연세맑은내과의원,"강원특별자치도 원주시 남원로 528-31, 신세계프라자 303,304,305,306,307,308호 (단구동)",033-765-3200,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
265,연세프라임치과의원,"강원특별자치도 원주시 서원대로 406, 4층 (단구동, 리더스타워)",033-765-7928,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
266,원주밝은안과의원,"강원특별자치도 원주시 서원대로 406, 5층 (단구동, 리더스타워)",033-766-9000,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
267,행복한의원,"강원특별자치도 원주시 예술관길 28-1, 1층 (명륜동)",033-765-3533,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
268,아름다운산부인과의원,"강원특별자치도 원주시 봉화로 10, 2층 (단계동)",033-747-8855,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
269,동아한의원,강원특별자치도 원주시 치악로 1592 (단구동),033-765-3663,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
270,연세프라임안과의원,"강원특별자치도 원주시 원일로 89, 대림빌딩 2층 (일산동)",033-731-2753,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
271,고운치과교정과치과의원,"강원특별자치도 원주시 서원대로 408, 501,502호 (단구동, 광장빌딩)",033-761-2804,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
272,총통한의원,"강원특별자치도 원주시 능라동길 59, 5층 (무실동, 정한프라자)",033-765-2228,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
273,연세아이편한치과의원,"강원특별자치도 원주시 능라동길 51, 617호 (무실동)",033-744-5275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
274,당유위한의원,"강원특별자치도 원주시 서원대로 392, 4층 (단구동, 스타프라자)",033-766-2295,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
275,원주STM치과의원,"강원특별자치도 원주시 능라동길 63, 5층 502~503호 (무실동)",033-734-2872,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
276,소나무한의원,"강원특별자치도 원주시 평원로 58, 2층 (평원동)",033-765-5775,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
277,당청운한의원,"강원특별자치도 원주시 시청로 3, 207-208호 (무실동)",033-742-1042,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
278,연세순풍산부인과의원,강원특별자치도 원주시 장미공원길 43-6 (단계동),033-745-0199,10,강원특별자치도 원주시청,033-737-4022,2025-11-25
279,판부면보건지소,강원특별자치도 원주시 치악로 1501 (관설동),033-737-4538,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
280,샤인치과의원,강원특별자치도 원주시 봉화로 27 (단계동),033-744-7525,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
281,은행나무치과의원,강원특별자치도 원주시 남원로 671 (명륜동),033-761-7754,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
282,영광의원,강원특별자치도 원주시 우산초교길 22 (우산동),033-731-1212,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
283,김정권내과의원,"강원특별자치도 원주시 중평길 12, 2층 (중앙동, 동남타워)",033-748-9798,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
284,푸른솔의원,"강원특별자치도 원주시 천사로 50, 2층 (단계동)",033-747-8259,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
285,원주가온한의원,"강원특별자치도 원주시 서원대로 380, 3층 (단구동, 동보노빌리티타워)",033-900-0121,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
286,우리아이소아청소년과의원,"강원특별자치도 원주시 단구로 388, 2층 (단구동)",033-761-2755,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
287,정웅교비뇨기과의원,강원특별자치도 원주시 원일로 106 (중앙동),033-735-6622,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
288,우리들성형외과의원,"강원특별자치도 원주시 서원대로 184, 4층 (단계동)",033-731-9551,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
289,아침한의원,"강원특별자치도 원주시 남원로 528, 1층 (단구동, kt링커스건물)",033-744-4034,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
290,계수나무한의원,강원특별자치도 원주시 치악로 1482 (단구동),033-765-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
291,연세그린내과의원,"강원특별자치도 원주시 원문로 106, 3층 (단계동, 선암빌딩)",033-746-1723,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
292,화이트e치과의원,"강원특별자치도 원주시 서원대로 502, 203,204호 (단구동, 골드프라자)",033-764-2804,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
293,연세플러스비뇨의학과의원,"강원특별자치도 원주시 원일로115번길 12, 7층 (일산동)",033-744-6875,6,강원특별자치도 원주시청,033-737-4022,2025-11-25
294,누가이비인후과의원,"강원특별자치도 원주시 서원대로 396, 310호 (단구동, 스타월드프라자)",033-765-5075,4,강원특별자치도 원주시청,033-737-4022,2025-11-25
295,화성치과의원,강원특별자치도 원주시 치악로 1845 (인동),033-765-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
296,김희성한의원,"강원특별자치도 원주시 능라동길 3, 304호 (무실동)",033-747-1875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
297,어진한의원,강원특별자치도 원주시 시청로 555 (관설동),033-764-3999,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
298,원주교도소부속의원,강원특별자치도 원주시 북원로 2155 (무실동),033-741-4875,29,강원특별자치도 원주시청,033-737-4022,2025-11-25
299,한양정태열의원,"강원특별자치도 원주시 태장둔치길 55, 3층 (태장동)",033-748-7582,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
300,한빛치과의원,"강원특별자치도 원주시 서원대로 396, 3층 (단구동, 스타월드)",033-766-3875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
301,모아한의원,강원특별자치도 원주시 원일로 63 (원동),033-765-7533,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
302,신희경산부인과의원,"강원특별자치도 원주시 서원대로 158, 2층 (단계동)",033-735-0755,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
303,서울수치과의원,"강원특별자치도 원주시 혁신로 53, 5층 504호 (반곡동)",033-748-7528,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
304,예스치과의원,강원특별자치도 원주시 원일로 93 (일산동),033-744-2725,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
305,원주교도소부속치과의원,강원특별자치도 원주시 북원로 2155 (무실동),033-741-4875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
306,연세고운맘소아청소년과의원,"강원특별자치도 원주시 시청로 86, 203호 (무실동, 부영골든빌)",033-742-9515,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
307,드림연세안과의원,"강원특별자치도 원주시 원일로 120, 2층 (중앙동)",033-742-0101,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
308,경희 해맑은한의원,"강원특별자치도 원주시 시청로 98, 2층 (무실동)",033-744-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
309,흥업한의원,강원특별자치도 원주시 흥업면 남원로 67,033-762-6527,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
310,인덕한의원,"강원특별자치도 원주시 남원로 589, 1층 (명륜동)",033-766-9966,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
311,강남한의원,"강원특별자치도 원주시 남원로 441-2, 1층 (명륜동)",033-762-1275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
312,앨리스의원,"강원특별자치도 원주시 치악로 1786, 3층 (개운동, 양문 153빌딩)",033-762-2007,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
313,제일의원,"강원특별자치도 원주시 중앙로 75, 1호 (중앙동)",033-746-3344,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
314,정내과의원,"강원특별자치도 원주시 단구로 353, 3층 (단구동)",033-761-0822,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
315,서울이내과의원,"강원특별자치도 원주시 서원대로 410, 401~403호 (단구동, 한솔프라자)",033-763-1300,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
316,연우치과의원,"강원특별자치도 원주시 무실로12번길 24, 2층 (일산동)",033-748-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
317,미드림의원,"강원특별자치도 원주시 서원대로 165, 3층 (단계동, 대호빌딩)",033-746-4222,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
318,권한의원,"강원특별자치도 원주시 치악로 1521, 2층 (관설동, 고려빌딩)",033-765-7657,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
319,김영석이비인후과의원,강원특별자치도 원주시 원문로 116 (단계동),033-744-5075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
320,닥터스킨피부과의원,"강원특별자치도 원주시 서원대로 406, 3층 (단구동, 리더스타워)",033-744-7007,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
321,원주연세의원,"강원특별자치도 원주시 흥업면 남원로 57, 2층",033-766-7881,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
322,양상묵한의원,강원특별자치도 원주시 남원로 528-13 (단구동),033-766-3999,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
323,우리안과의원,"강원특별자치도 원주시 시청로 31, 2~5층 601, 608~612호 (무실동)",033-746-0212,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
324,지선당한의원,"강원특별자치도 원주시 능라동길 51, 517, 518호 (무실동)",033-748-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
325,예인한의원,강원특별자치도 원주시 단관길 129 (관설동),033-763-3555,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
326,효성신경외과의원,강원특별자치도 원주시 서원대로 509 (단구동),033-761-7582,29,강원특별자치도 원주시청,033-737-4022,2025-11-25
327,이건내과의원,"강원특별자치도 원주시 시청로 84, 203호 (무실동, 애드피아상가)",033-747-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
328,도홍림이비인후과의원,"강원특별자치도 원주시 원일로115번길 12, 6층 (일산동)",033-734-7522,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
329,천정학내과의원,"강원특별자치도 원주시 남원로 528-11, 3층 (단구동, 광덕빌딩)",033-766-7588,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
330,이상봉비뇨기과의원,"강원특별자치도 원주시 남원로 671, 2층,5층 (명륜동)",033-761-3939,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
331,연세준내과의원,강원특별자치도 원주시 서원대로 162 (단계동),033-733-7711,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
332,엄재동정형외과의원,"강원특별자치도 원주시 남원로534번길 10, 3층 (단구동)",033-763-7077,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
333,평강한의원,"강원특별자치도 원주시 원일로115번길 5, 2층 (일산동)",033-732-5551,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
334,한빛이비인후과의원,강원특별자치도 원주시 시청로 36 (무실동),033-761-5002,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
335,우리가정의원,"강원특별자치도 원주시 나비허리길 169, 2층 (관설동)",033-766-1177,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
336,고려외과의원,강원특별자치도 원주시 원문로 107-8 (단계동),033-744-2727,29,강원특별자치도 원주시청,033-737-4022,2025-11-25
337,조남천항맥외과의원,강원특별자치도 원주시 서원대로 180 (단계동),033-745-5678,4,강원특별자치도 원주시청,033-737-4022,2025-11-25
338,늘푸른의원,"강원특별자치도 원주시 치악로 1648, 2층 (단구동)",033-765-7579,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
339,참좋은치과의원,"강원특별자치도 원주시 천사로 38, 2층 (단계동, 선제빌딩)",033-746-2817,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
340,동의보감한의원,강원특별자치도 원주시 원일로 82-3 (중앙동),033-731-1775,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
341,이앤이치과의원,"강원특별자치도 원주시 남원로 528-11, 2층 (단구동, 광덕빌딩)",033-766-0428,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
342,한빛소아청소년과의원,강원특별자치도 원주시 태장둔치길 41-1 (태장동),033-743-3388,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
343,창문외과의원,"강원특별자치도 원주시 이화6길 1, 3층 (단계동)",033-743-4567,9,강원특별자치도 원주시청,033-737-4022,2025-11-25
344,바른길치과의원,강원특별자치도 원주시 북원로 2489 (우산동),033-743-2820,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
345,본치과의원,"강원특별자치도 원주시 일산로 61, 4층 (원동)",033-744-7414,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
346,토지한의원,"강원특별자치도 원주시 단구로 397, 1층 (단구동)",033-735-7515,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
347,신림연세의원,"강원특별자치도 원주시 신림면 치악로 9, 2층",033-763-3600,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
348,승산한의원,"강원특별자치도 원주시 예술관길 4, 2층 (명륜동)",033-766-0815,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
349,태장고려의원,강원특별자치도 원주시 치악로 2031 (태장동),033-748-7570,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
350,서상원한의원,"강원특별자치도 원주시 서원대로 408, 광장빌딩 202호 (단구동)",033-901-0233,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
